source,target
8142557,9564174
8145215,11141998
8145215,12702487
8262710,11118078
8262710,11383153
8262710,12880418
8262710,12895369
8262710,14588746
8262710,15973465
8262710,9619996
8262710,9762627
8874264,10905611
8874264,13971838
8874264,9266148
8877758,15890501
8877758,9184685
9184685,15890501
9266148,10905611
9266148,13971838
9485413,11383312
9485413,14655435
9485413,15966726
9485413,16108423
9485413,9524938
9485413,9564174
9524938,11383312
9524938,14655435
9524938,15966726
9524938,16108423
9524938,9564174
9564174,11383312
9564174,14655435
9564174,15966726
9564174,16108423
9619996,11118078
9619996,11383153
9619996,12880418
9619996,12895369
9619996,14588746
9619996,15973465
9619996,9762627
9762627,11118078
9762627,11383153
9762627,12880418
9762627,12895369
9762627,14588746
9762627,15973465
10486406,10560981
10486406,10591229
10486406,10592433
10486406,10633779
10486406,10715025
10486406,11901354
10486406,11905998
10486406,11912689
10486406,11955077
10486406,11955118
10486406,12077872
10486406,12097244
10486406,12149481
10486406,12149789
10486406,12159845
10486406,12290248
10486406,12301487
10486406,13372650
10486406,13730932
10486406,13759894
10486406,13760826
10486406,13772089
10486406,13783640
10486406,13783843
10486406,13794057
10486406,13794457
10486406,13806133
10486406,13836647
10486406,13886297
10486406,13911686
10486406,13912008
10486406,13912866
10486406,13961465
10486406,15066663
10486406,15108599
10486406,15145874
10486406,15208289
10486406,15393805
10486406,15394603
10486406,15417421
10486406,15458568
10486406,15533729
10486406,15545880
10486406,15583445
10486406,15583631
10486406,15624992
10486406,9102775
10560981,10591229
10560981,10592433
10560981,10633779
10560981,10715025
10560981,11901354
10560981,11905998
10560981,11912689
10560981,11955077
10560981,11955118
10560981,12077872
10560981,12097244
10560981,12149481
10560981,12149789
10560981,12159845
10560981,12290248
10560981,12301487
10560981,13372650
10560981,13730932
10560981,13759894
10560981,13760826
10560981,13772089
10560981,13783640
10560981,13783843
10560981,13794057
10560981,13794457
10560981,13806133
10560981,13836647
10560981,13886297
10560981,13911686
10560981,13912008
10560981,13912866
10560981,13961465
10560981,15066663
10560981,15108599
10560981,15145874
10560981,15208289
10560981,15393805
10560981,15394603
10560981,15417421
10560981,15458568
10560981,15533729
10560981,15545880
10560981,15583445
10560981,15583631
10560981,15624992
10560981,9102775
10591229,10592433
10591229,10633779
10591229,10715025
10591229,11901354
10591229,11905998
10591229,11912689
10591229,11955077
10591229,11955118
10591229,12077872
10591229,12097244
10591229,12149481
10591229,12149789
10591229,12159845
10591229,12290248
10591229,12301487
10591229,13372650
10591229,13730932
10591229,13759894
10591229,13760826
10591229,13772089
10591229,13783640
10591229,13783843
10591229,13794057
10591229,13794457
10591229,13806133
10591229,13836647
10591229,13886297
10591229,13911686
10591229,13912008
10591229,13912866
10591229,13961465
10591229,15066663
10591229,15108599
10591229,15145874
10591229,15208289
10591229,15393805
10591229,15394603
10591229,15417421
10591229,15458568
10591229,15533729
10591229,15545880
10591229,15583445
10591229,15583631
10591229,15624992
10591229,9102775
10592433,10633779
10592433,10715025
10592433,11901354
10592433,11905998
10592433,11912689
10592433,11955077
10592433,11955118
10592433,12077872
10592433,12097244
10592433,12149481
10592433,12149789
10592433,12159845
10592433,12290248
10592433,12301487
10592433,13372650
10592433,13730932
10592433,13759894
10592433,13760826
10592433,13772089
10592433,13783640
10592433,13783843
10592433,13794057
10592433,13794457
10592433,13806133
10592433,13836647
10592433,13886297
10592433,13911686
10592433,13912008
10592433,13912866
10592433,13961465
10592433,15066663
10592433,15108599
10592433,15145874
10592433,15208289
10592433,15393805
10592433,15394603
10592433,15417421
10592433,15458568
10592433,15533729
10592433,15545880
10592433,15583445
10592433,15583631
10592433,15624992
10592433,9102775
10633779,10715025
10633779,11901354
10633779,11905998
10633779,11912689
10633779,11955077
10633779,11955118
10633779,12077872
10633779,12097244
10633779,12149481
10633779,12149789
10633779,12159845
10633779,12290248
10633779,12301487
10633779,13372650
10633779,13730932
10633779,13759894
10633779,13760826
10633779,13772089
10633779,13783640
10633779,13783843
10633779,13794057
10633779,13794457
10633779,13806133
10633779,13836647
10633779,13886297
10633779,13911686
10633779,13912008
10633779,13912866
10633779,13961465
10633779,15066663
10633779,15108599
10633779,15145874
10633779,15208289
10633779,15393805
10633779,15394603
10633779,15417421
10633779,15458568
10633779,15533729
10633779,15545880
10633779,15583445
10633779,15583631
10633779,15624992
10633779,9102775
10715025,11901354
10715025,11905998
10715025,11912689
10715025,11955077
10715025,11955118
10715025,12077872
10715025,12097244
10715025,12149481
10715025,12149789
10715025,12159845
10715025,12290248
10715025,12301487
10715025,13372650
10715025,13730932
10715025,13759894
10715025,13760826
10715025,13772089
10715025,13783640
10715025,13783843
10715025,13794057
10715025,13794457
10715025,13806133
10715025,13836647
10715025,13886297
10715025,13911686
10715025,13912008
10715025,13912866
10715025,13961465
10715025,15066663
10715025,15108599
10715025,15145874
10715025,15208289
10715025,15393805
10715025,15394603
10715025,15417421
10715025,15458568
10715025,15533729
10715025,15545880
10715025,15583445
10715025,15583631
10715025,15624992
10715025,9102775
1086073,10486406
1086073,10560981
1086073,10591229
1086073,10592433
1086073,10633779
1086073,10715025
1086073,10872085
1086073,11901354
1086073,11905998
1086073,11912689
1086073,11955077
1086073,11955118
1086073,12077872
1086073,12097244
1086073,12149481
1086073,12149789
1086073,12159845
1086073,1223978
1086073,12290248
1086073,12301487
1086073,1284421
1086073,13372650
1086073,13730932
1086073,13759894
1086073,13760826
1086073,13772089
1086073,13783640
1086073,13783843
1086073,13794057
1086073,13794457
1086073,13806133
1086073,13836647
1086073,13886297
1086073,13911686
1086073,13912008
1086073,13912866
1086073,13961465
1086073,14054103
1086073,15066663
1086073,15108599
1086073,15145874
1086073,15208289
1086073,15393805
1086073,15394603
1086073,15417421
1086073,15458568
1086073,15533729
1086073,15545880
1086073,15583445
1086073,15583631
1086073,15624992
1086073,15882889
1086073,2184122
1086073,2227803
1086073,2369881
1086073,2380718
1086073,2457481
1086073,2505604
1086073,2562238
1086073,2565041
1086073,2571779
1086073,2611264
1086073,2650532
1086073,3643305
1086073,3704508
1086073,3991079
1086073,399136
1086073,3991469
1086073,3992451
1086073,4031613
1086073,4055167
1086073,4066976
1086073,4156395
1086073,4194030
1086073,4194673
1086073,4204550
1086073,4508954
1086073,5039184
1086073,5264104
1086073,5290410
1086073,5416564
1086073,5477408
1086073,5727000
1086073,5803144
1086073,6531614
1086073,6670914
1086073,6671181
1086073,6887477
1086073,6911742
1086073,6947374
1086073,7101376
1086073,7234587
1086073,7245961
1086073,7297781
1086073,7307941
1086073,7321046
1086073,7426575
1086073,7437003
1086073,7446950
1086073,7475614
1086073,7693825
1086073,7715248
1086073,7732526
1086073,7755063
1086073,786023
1086073,810014
1086073,832283
1086073,8507525
1086073,8568821
1086073,8621490
1086073,8712692
1086073,8916667
1086073,8970857
1086073,8970960
1086073,9019016
1086073,902641
1086073,9094689
1086073,9096268
1086073,9102775
1086073,951578
1086073,989012
1086073,9907733
10872085,10486406
10872085,10560981
10872085,10591229
10872085,10592433
10872085,10633779
10872085,10715025
10872085,11901354
10872085,11905998
10872085,11912689
10872085,11955077
10872085,11955118
10872085,12077872
10872085,12097244
10872085,12149481
10872085,12149789
10872085,12159845
10872085,12290248
10872085,12301487
10872085,13372650
10872085,13730932
10872085,13759894
10872085,13760826
10872085,13772089
10872085,13783640
10872085,13783843
10872085,13794057
10872085,13794457
10872085,13806133
10872085,13836647
10872085,13886297
10872085,13911686
10872085,13912008
10872085,13912866
10872085,13961465
10872085,14054103
10872085,15066663
10872085,15108599
10872085,15145874
10872085,15208289
10872085,15393805
10872085,15394603
10872085,15417421
10872085,15458568
10872085,15533729
10872085,15545880
10872085,15583445
10872085,15583631
10872085,15624992
10872085,15882889
10872085,2184122
10872085,2227803
10872085,2369881
10872085,2380718
10872085,2457481
10872085,2505604
10872085,2562238
10872085,2565041
10872085,2571779
10872085,2611264
10872085,2650532
10872085,3643305
10872085,3704508
10872085,3991079
10872085,399136
10872085,3991469
10872085,3992451
10872085,4031613
10872085,4055167
10872085,4066976
10872085,4156395
10872085,4194030
10872085,4194673
10872085,4204550
10872085,5039184
10872085,5264104
10872085,5290410
10872085,5416564
10872085,5477408
10872085,5727000
10872085,5803144
10872085,6670914
10872085,6671181
10872085,6887477
10872085,6911742
10872085,6947374
10872085,7101376
10872085,7234587
10872085,7245961
10872085,7297781
10872085,7307941
10872085,7321046
10872085,7426575
10872085,7437003
10872085,7446950
10872085,7475614
10872085,786023
10872085,810014
10872085,832283
10872085,8507525
10872085,8568821
10872085,8621490
10872085,8712692
10872085,8916667
10872085,8970857
10872085,8970960
10872085,9019016
10872085,902641
10872085,9094689
10872085,9096268
10872085,9102775
10872085,951578
10872085,989012
10872085,9907733
11483545,14930623
11834631,13177617
11901354,11905998
11901354,11912689
11901354,11955077
11901354,11955118
11901354,12077872
11901354,12097244
11901354,12149481
11901354,12149789
11901354,12159845
11901354,12290248
11901354,12301487
11901354,13372650
11901354,13730932
11901354,13759894
11901354,13760826
11901354,13772089
11901354,13783640
11901354,13783843
11901354,13794057
11901354,13794457
11901354,13806133
11901354,13836647
11901354,13886297
11901354,13911686
11901354,13912008
11901354,13912866
11901354,13961465
11901354,15066663
11901354,15108599
11901354,15145874
11901354,15208289
11901354,15393805
11901354,15394603
11901354,15417421
11901354,15458568
11901354,15533729
11901354,15545880
11901354,15583445
11901354,15583631
11901354,15624992
11901354,9102775
11905998,11912689
11905998,11955077
11905998,11955118
11905998,12077872
11905998,12097244
11905998,12149481
11905998,12149789
11905998,12159845
11905998,12290248
11905998,12301487
11905998,13372650
11905998,13730932
11905998,13759894
11905998,13760826
11905998,13772089
11905998,13783640
11905998,13783843
11905998,13794057
11905998,13794457
11905998,13806133
11905998,13836647
11905998,13886297
11905998,13911686
11905998,13912008
11905998,13912866
11905998,13961465
11905998,15066663
11905998,15108599
11905998,15145874
